Chinese;English
曲蛇弹动阵法集;Curved Snake Elastic Formation Collection
聚散如意灵汐阵;Gathering-Dispersal As-You-Wish Ebbing Spirit Formation
仙僵化生大法;Immortal Zombie Life Transformation Grand Magic
雪域符箓图典;Snowy Region Talisman Illustration Scripture
我佛心魔印;Buddha Heart Demon Seal
明心告警诀;Clear Heart Warning Incantation
魔染血筋功;Demonic Pollution Blood Sinew Technique
魂引术详解;Detailed Explanation of the Soul Guiding Art
行云流水符;Drifting Clouds Flowing Water Talisman
五行气律诀;Five Elements Qi Regulation Incantation
流光织影手;Flowing Light Weaving Shadow Hand
阵纹雕刻台;Formation Engraving Pedestal
金丝玉露糕;Golden Flake Jade Dew Cake
机缘钦定符;Good Fortune Imperial Decree Talisman
磨牙魔音锉;Grinding Tooth Demonic Sound File
半死半活珠;Half-Dead Half-Alive Bead
垂髫钓死鞭;Hanging-Hair Hooked Death Whip
垂髫吊死鞭;Hanging-Hair Hooked Death Whip
晚秋留命丹;Late Autumn Life Preservation Pill
神机妙算香;Marvelous Strategy Brilliant Calculation Incense
镜台通灵诀;Mirror Platform Spirit Communication Incantation
镜台通灵经;Mirror Platform Spirit Communication Scripture
运动平衡牀;Motion Equilibrium Frame
九幽黑死猫;Nine Nethers Black Death Cat
九转噬魂诀;Nine Turns Soul Devouring Incantation
宁家少族长;Ning Clan Junior Patriarch
凤魂血香丸;Phoenix Soul Blood Fragrance Pellet
追根溯源诀;Root Tracking Origin Tracing Incantation
追根溯源法;Root Tracking Origin Tracing Method
赤焰妖熔洞;Scarlet Flame Monster Volcanic Cavern
偷香窃玉手;Snatching Fragrance Stealing Jade Hand
灵力压缩牀;Spirit Power Compression Frame
千焰烈魂酒;Thousand Flame Blazing Soul Wine
千钧重锤台;Thousand Jun Heavy Hammer Platform
上下如意索;Up-Down As-You-Wish Cables
金刚护体法;Vajra Body Protection Skill
养脉护体散;Vein Nourishment Body Protection Powder
生机静养体;Vitality Convalescense Physique
虚空错位手;Void Dislocation Hand
白虎开刃轮;White Tiger Knife Sharpening Wheel
精、气、神;essence, qi, and spirit
目空一切;All Under My Gaze is Emptiness
骨墓道人;Bone Tomb Dao Sage
火柿城主;City Lord
死骨巨灵;Dead Bone Giant Spirit
龙鼋火灵;Dragon Turtle Fire Spirit
狂突奔雷;Ferocious Rushing Thunder
狂奔突雷;Ferocious Rushing Thunder
火眼金睛;Fiery Eyes, Golden Pupils
火柿仙城;Fire Persimmon Immortal City
绝命飞钩;Flying Death Hook
飞盘工坊;Flying Disk Workshop
飞盘工坊;Flying Disk Workshop
飞枪鬼将;Flying Spear Ghost General
怒火心猿;Furious Heart Ape
焚心火毒;Furious Heart Fire Poison
金血战猿;Golden Blood Battle Ape
穿心洞见;Heart-Piercing Insight
黄家三鬼;Huang Family Ghost Trio
冰脂玉手;Ice Jade Hands
绝冰散人;Icebreaker Hermit Sage
幻真莲子;Illusory True Lotus Seed
苍铁汉甲;Iron Will Gray Armor
熔岩仙宫;Lava Immortal Palace
人命悬丝;Life-Hanging Thread
火融魔猿;Molten Flame Demonic Ape
幽冥心经;Netherworld Heart Sutra
宁家族长;Ning Clan patriarch
凤魂血香;Phoenix Soul Blood Fragrance
紫阳别院;Purple Sun Villa
义骨金坚;Righteous Bone Golden Hardness
赤金玄铁;Scarlet Gold Profound Iron
勾魂壁虎;Soul-Charming Gecko
迷魂大法;Soul-Enchanting Grand Magic
南豆仙朝;Southern Bean Immortal Dynasty
南豆仙国;Southern Bean Immortal Kingdom
南豆国君;Southern Bean Monarch
南豆朝廷;Southern Bean Royal Court
三宗上人;Three Schools Supreme Sage
三宗上法;Three Schools Supreme Skills
绿刀螳螂;Verdant Blade Mantis
朱火琉璃;Vermilion Fire Glass
白纸仙城;White Paper Immortal City
白鳞居士;White Scale Scholar
蒙冲少爷;Young Master Meng Chong
后天天资;acquired talent
黑影魔修;black shadow demonic cultivator
云纹软银;cloud-patterned soft silver
修行功法;cultivation technique
防御阵法;defensive formation
魔道修士;demonic cultivator
醍醐灌顶;direct enlightenment
五面石柱;five-sided stone pillar
掐动指诀;formed hand seals
玻璃飞刀;glass throwing knives
背负双手;hands behind his back
天材地宝;heavenly materials and earthly treasures
修真百艺;hundred arts of cultivation
功夫人偶;kung fu puppet
熔岩魔头;lava demon
机关猿猴;mechanical ape
机关部件;mechanical component
机关造物;mechanical construct
机关台座;mechanical pedestal
机关工坊;mechanical workshop
微型阵法;micro-formation
外门弟子;outer disciple
走火入魔;qi deviation
回力盘丝;spring force coiling wire
试炼弟子;trial disciple
释气环;Air Ejection Ring
全书楼;All-Book Pavilion
定颜丹;Appearance Fixation Pill
霸器国;Artifact Hegemon Kingdom
青霜城;Azure Frost City
黑水山;Blackwater Mountain
孙老大;Boss Sun
安神香;Calming Soul Incense
慈幼园;Children's Care Center
楚流云;Chu Liuyun
楚细腰;Chu Xiyao
城主府;City Lord Mansion
清浊散;Clear Dust Powder
穿云手;Cloud Piercing Hand
寒霜侯;Cold Frost Marquis
神捕司;Divine Investigation Bureau
朱神捕;Divine Investigator Zhu
早智丹;Early Wisdom Pill
土胎城;Earth Fetus City
诛邪堂;Evil Punishment Hall
风继轻;Feng Jiqing
握火术;Fiery Grasp Art
火柿节;Fire Persimmon Festival
火柿林;Fire Persimmon Forest
火柿山;Fire Persimmon Mountain
踏焰蜥;Flame-Treading Lizard
浮云帕;Floating Cloud Handkerchief
飞云国;Flying Cloud Kingdom
破阵符;Formation Breaking Talisman
金膳堂;Golden Restaurant
蛊惑教;Gu Bewitchment Church
垂髫客;Hanging-Hair Guest
天轨府;Heavenly Path Mansion
圣猿宗;Holy Ape Sect
圣仙师;Holy Immortal Master
钓死鞭;Hooked Death Whip
花千魂;Hua Qianhun
抱冰术;Icy Embrace Art
仙灵木;Immortal Spirit Wood
孔日月;Kong Riyue
熔岩宫;Lava Immortal Palace
李雷峰;Li Leifeng
小兄弟;Little Brother
孟瑶音;Meng Yaoyin
拾金术;Metal Plucking Art
猴头帮;Monkey Head Gang
猎妖会;Monster Hunting Association
泥流门;Mud Flow Sect
万象宗;Myriad Manifestations Sect
聂雄风;Nie Xiongfeng
宁小慧;Ning Xiaohui
宁晓仁;Ning Xiaoren
宁战机;Ning Zhanji
北风国;Northern Wind Kingdom
一股气;One Gust of Air
归元丹;Origin Returning Pill
纸甲术;Paper Armor Art
魅影门;Phantom Sect
玄金斩;Profound Gold Slash
紫烟城;Purple Smoke City
紫阳炉;Purple Sun Furnace
青焦军;Qing-Jiao Army
还魂丹;Resurrection Pill
壮阳院;Robust Yang Courtyard
一号房;Room 1
二号房;Room 2
三号房;Room 3
赤焰妖;Scarlet Flame Monster
七巧手;Seven Skillful Hand
七星灯;Seven Star Lamp
雷寂鸟;Silent Thunderbird
轻灵丹;Soft Spirit Pill
魂菁花;Soul Blossom Flower
摄魂梭;Soul Capturing Shuttle
噬魂宗;Soul Devouring Sect
镇神符;Soul-Suppressing Talisman
南豆国;Southern Bean Kingdom
南豆君;Southern Bean Monarch
遁空符;Space Escape Talisman
不空门;Spaceless Sect
灵焰花;Spirit Flame Flower
强拳僧;Strong Fists Monk
孙灵瞳;Sun Lingtong
日月钩;Sun-Moon Hooks
传法钟;Technique Transmission Bell
气数论;Theory of Numbered Breaths
铁骨铮;Tie Guzheng
朱炎石;Vermilion Flame Stone
飞游手;Wandering Flight Hand
温养丹;Warm Recovery Pill
警心铃;Warning Heart Bell
温软玉;Wen Ruanyu
白纸城;White Paper City
接木术;Wood Grafting Art
杨三眼;Yang Sanyan
阴骨诀;Yin Bone Art
阴尸气;Yin Corpse Qi
渡阴术;Yin-Crossing Art
袁大胜;Yuan Dasheng
郑双钩;Zheng Shuanggou
周文衍;Zhou Wenyan
周泽深;Zhou Zeshen
朱玄迹;Zhu Xuanji
大头鬼;big-headed ghost
练功房;cultivation room
修功法;cultivation technique
防御阵;defensive formation
精气神;essence, qi, and soul
火爆猴;explosive fire monkey
火晶草;fire crystal grass
火绒鼠;fire velvet rat
焰影花;flame shadow flower
太上皇;founding sovereign
大宗师;great grandmaster
吊死鬼;hanged ghost
上吊环;hanging ring
少族长;junior patriarch
下丹田;lower dantian
机关术;mechanical arts
机关师;mechanical arts master
中丹田;middle dantian
幽冥花;netherworld flower
油烟泥;petroleum mud
小头鬼;small-headed ghost
烟云雀;smoke lark
灵隐柳;spirit concealment willow
神气精;spirit, qi, and essence
上丹田;upper dantian
阿拙;Ah Zhuo
丐帮;Beggar Gang
大柱;Big Zhu
老大;Boss
兄弟;Brother
佛门;Buddhist Gate
陈茶;Chen Cha
迟惇;Chi Dun
城主;City Lord
儒修;Confucian cultivator
儒家;Confucianism
大剩;Da Sheng
道门;Daoist Gate
大胜;Dasheng
魔门;Demonic Gate
神捕;Divine Investigator
早智;Early Wisdom
炼精;Essence Refining
费思;Fei Si
道友;Fellow Daoist
火眼;Fiery Eyes
筑基;Foundation Establishment
帮主;Gang Leader
金丹;Golden Core
金睛;Golden Pupils
韩冥;Han Ming
仙资;Immortal Talent
天资;Innate Talent
焦家;Jiao Clan
焦麻;Jiao Ma
小麻;Little Ma
小拙;Little Zhuo
猴爷;Lord Monkey
蒙冲;Meng Chong
蒙家;Meng Clan
蒙岿;Meng Kui
元婴;Nascent Soul
幽精;Nether Essence
宁沉;Ning Chen
宁家;Ning Clan
宁返;Ning Fan
宁忌;Ning Ji
宁勇;Ning Yong
宁责;Ning Ze
宁忠;Ning Zhong
宁拙;Ning Zhuo
陈老;Old Chen
孙老;Old Sun
一轮;One Round
炼气;Qi Refining
青炽;Qing Chi
兄长;Respected Elder Brother
大人;Sir
南豆;Southern Bean
灵瞳;Spirit Eyes
炼神;Spirit Refining
孙烈;Sun Lie
猴叔;Uncle Monkey
金刚;Vajra
炼虚;Void Refining
王兰;Wang Lan
贤弟;Worthy Little Brother
晓仁;Xiaoren
袁二;Yuan Er
袁一;Yuan Yi
郑家;Zheng Clan
郑箭;Zheng Jian
周家;Zhou Clan
周柱;Zhou Zhu
拙儿;Zhuo'er
炼器;artifact crafting
刀气;blade qi
血气;blood energy
血精;blood essence
双手;both hands
支脉;branch family
城灵;city spirit
家族;clan
云鲸;cloud whale
部件;component
杖头;control rod
修真;cultivation
修行;cultivation
修炼;cultivation
修为;cultivation base
修士;cultivator
丹田;dantian
暗精;darkness essence
死气;death energy
魔头;demon
魔修;demonic cultivator
魔能;demonic force
魔道;demonic path
魔功;demonic technique
命运;destiny
神通;divine ability
神念;divine intent
神威;divine might
神海;divine sea
神识;divine sense
神魂;divine soul
时辰;double-hour
动阵;dynamic formation
精血;essence blood
精宫;essence palace
精海;essence sea
气数;fate energy
机缘;fated opportunity
女修;female cultivator
火行;fire element
火精;fire essence
火柿;fire persimmon
火蛇;fire snake
禁术;forbidden art
阵法;formation
法阵;formation
阵盘;formation disk
阵眼;formation eye
阵柱;formation pillar
底蕴;foundation
鬼修;ghost cultivator
鬼将;ghost general
鬼雾;ghost mist
大阵;grand formation
宗师;grandmaster
大宗;great sect
邪派;heterodox faction
上等;high-grade
仙城;immortal city
修仙;immortal cultivation
仙朝;immortal dynasty
仙国;immortal kingdom
仙宫;immortal palace
仙藏;immortal's treasures
传承;inheritance
天性;innate nature
玉简;jade slip
地焰;lava
下等;low-grade
气运;luck energy
法器;magic artifact
法衣;magic robe
法宝;magic treasure
法力;magical power
奴婢;maidservant
主脉;main family
大派;major faction
武术;martial arts
大师;master
机关;mechanism
药材;medicinal ingredient
丹药;medicinal pill
蒲团;meditation mat
金行;metal element
中等;mid-grade
妖兽;monster beast
妖修;monster cultivator
老祖;old ancestor
老怪;old monster
宫灵;palace spirit
族长;patriarch
炼丹;pill refining
大能;powerhouse
修行;practicing cultivation
天才;prodigy
气海;qi sea
改修;recultivation
正道;righteous path
散修;rogue cultivator
王朝;royal dynasty
王室;royal family
王命;royal mandate
识海;sea of consciousness
印玺;seal stamp
尺寸;size
天金;sky gold
魂菁;soul essence
魂粹;soul extract
魂力;soul power
法术;spell
灵兽;spirit beast
灵气;spirit energy
灵食;spirit food
灵宠;spirit pet
灵植;spirit plant
灵力;spirit power
灵根;spirit root
灵石;spirit stone
灵宝;spirit treasure
灵性;spirituality
超等;super-grade
剑修;sword cultivator
符箓;talisman
符堂;talisman hall
符宝;talisman treasure
功法;technique
朱某;this Zhu
晚辈;this junior
属下;this subordinate
千年;thousand-year
雷砂;thunder sand
宝光;treasure light
宝药;treasure medicine
宝印;treasure seal
本体;true body
真传;true disciple
劲参;vigor ginseng
传音;voice transmission
虚空;void
空肺;void lung
战堂;war hall
木行;wood element
阴气;yin energy
阴兵;yin soldier
阴潮;yin tide
阴风;yin wind
少爷;young master
尺;chi
寸;cun
斤;jin
妖;monster
丈;zhang
阴间;Yin World
忘川;Forgetfulness River
忘川仙城;Forgetfulness River Immortal City
忘川府君;Forgetfulness River Prefecture Lord
玉简;jade slip
府君大人;Sir Prefecture Lord
阳间;Yang World
花生鬼将;Flower Life Ghost General
